No,Job Title,Location,Employee Type,Company Type,Company,Job Function,Job Category,Require
1,Lead analyst and Program mananger,Phnom Penh,,Private,Data Elevates,Information Technology,Data Analysis,"Python, SQL, R, Java, JavaScript, C#, Scala, Bash"
2,Visiting Professor,Phnom Penh,Part-time,Private,Search Talent,Education and Training,Other,"Python, R, Matlab, Java, C++, HTML, CSS, JavaScript, SQL, Scala, Kotlin"
3,Backend Developer,Phnom Penh,Full-time,Private,ABA Bank,"Information Technology, Product Management, and Science",Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
4,Back-end Web Developer Quality Assurance,Phnom Penh,Full-time,Private,CMED Construction,Information Technology,Other,"Python, Selenium, Junit, Postman, HTML, CSS, JavaScript, SQL"
5,Compliance Data Analytics Specialist,Phnom Penh,Full-time,Private,ABA Bank,"Analyst, Other, and Information Technology",Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
6,Data Scientist,Phnom Penh,Full-time,Private,ABA Bank,"Design, Art/Creative, and Marketing",Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
7,Data Scientist,Phnom Penh,Full-time,Private,ABA Bank,"Design, Art/Creative, and Marketing",Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
8,Data Scientist,Phnom Penh,Full-time,Private,CMED Construction,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
9,Data Scientist,Phnom Penh,Full-time,Private,CMED Construction,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
10,Flutter App. QA Developer,Phnom Penh,Full-time,Private,CMED Construction,Engineering,Other, Flutter
11,Front-end Web App. Developer,Phnom Penh,Full-time,Private,CMED Construction,Engineering and Information Technology,Other,Flutter
12,"Associate, Strategic Partnerships",Phnom Penh,Full-time,Private,Grab,Business Development,Other,"Python, SQL, Excel, Google Sheets"
13,Human Capital Services Executive,Phnom Penh,Full-time,Private,Maybank,Other,Other,"HRIS, Excel, Google Sheet, SQL"
14,Junior Accountant,Phnom Penh,Full-time,Private,DFDL,Accounting/Auditing and Finance,Other,"Excel, SAP, Xero, QuickBooks"
15,Senior Cloud Infrastructure Engineer,Phnom Penh,Full-time,Private,Smart Axiata,Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
16,Enterprise Architect,Phnom Penh,Full-time,Private,ATA IT Limited (National Bank of Canada group),Information Technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
17,Product Owner,Phnom Penh,Full-time,Private,"Biz Solution Co,. Ltd.",Product Management and Marketing,Other,"Jira, Trello, Asana, Azure, DevOps"
18,Backend Engineer,Phnom Penh,Full-time,Private,Boo,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
